,title,vote_count,vote_average,genres,popularity,imdb_id
0,Toy Story,5415.0,7.7,"['Animation', 'Comedy', 'Family']",21.946943,tt0114709
1,Jumanji,2413.0,6.9,"['Adventure', 'Fantasy', 'Family']",17.015539,tt0113497
2,Grumpier Old Men,92.0,6.5,"['Romance', 'Comedy']",11.7129,tt0113228
4,Father of the Bride Part II,173.0,5.7,['Comedy'],8.387519000000001,tt0113041
5,Heat,1886.0,7.7,"['Action', 'Crime', 'Drama', 'Thriller']",17.924927,tt0113277
6,Sabrina,141.0,6.2,"['Comedy', 'Romance']",6.677277,tt0114319
8,Sudden Death,174.0,5.5,"['Action', 'Adventure', 'Thriller']",5.23158,tt0114576
9,GoldenEye,1194.0,6.6,"['Adventure', 'Action', 'Thriller']",14.686035999999998,tt0113189
10,The American President,199.0,6.5,"['Comedy', 'Drama', 'Romance']",6.318445,tt0112346
11,Dracula: Dead and Loving It,210.0,5.7,"['Comedy', 'Horror']",5.430331,tt0112896
12,Balto,423.0,7.1,"['Family', 'Animation', 'Adventure']",12.140733,tt0112453
13,Nixon,72.0,7.1,"['History', 'Drama']",5.092,tt0113987
14,Cutthroat Island,137.0,5.7,"['Action', 'Adventure']",7.284477000000001,tt0112760
15,Casino,1343.0,7.8,"['Drama', 'Crime']",10.137389,tt0112641
16,Sense and Sensibility,364.0,7.2,"['Drama', 'Romance']",10.673167,tt0114388
17,Four Rooms,539.0,6.5,"['Crime', 'Comedy']",9.026586,tt0113101
18,Ace Ventura: When Nature Calls,1128.0,6.1,"['Crime', 'Comedy', 'Adventure']",8.205447999999999,tt0112281
19,Money Train,224.0,5.4,"['Action', 'Comedy', 'Crime']",7.337905999999999,tt0113845
20,Get Shorty,305.0,6.4,"['Comedy', 'Thriller', 'Crime']",12.669608,tt0113161
21,Copycat,199.0,6.5,"['Drama', 'Thriller']",10.701801,tt0112722
22,Assassins,394.0,6.0,"['Action', 'Adventure', 'Crime', 'Thriller']",11.065939,tt0112401
23,Powder,143.0,6.3,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12.133094,tt0114168
24,Leaving Las Vegas,365.0,7.1,"['Drama', 'Romance']",10.332025,tt0113627
26,Now and Then,91.0,6.6,"['Comedy', 'Drama', 'Family']",8.681325,tt0114011
28,The City of Lost Children,308.0,7.6,"['Fantasy', 'Science Fiction', 'Adventure']",9.822422999999999,tt0112682
30,Dangerous Minds,249.0,6.4,"['Drama', 'Crime']",9.481338000000001,tt0112792
31,Twelve Monkeys,2470.0,7.4,"['Science Fiction', 'Thriller', 'Mystery']",12.297305,tt0114746
33,Babe,756.0,6.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",14.404764000000002,tt0112431
35,Dead Man Walking,350.0,7.3,['Drama'],6.891317,tt0112818
37,It Takes Two,149.0,6.1,"['Comedy', 'Family', 'Romance']",7.777735000000001,tt0113442
38,Clueless,828.0,6.9,"['Comedy', 'Drama', 'Romance']",9.882383,tt0112697
40,Richard III,50.0,6.9,"['Drama', 'War']",4.561387,tt0114279
41,Dead Presidents,80.0,6.6,"['Action', 'Crime', 'Drama', 'History']",9.87957,tt0112819
43,Mortal Kombat,452.0,5.4,"['Action', 'Fantasy']",10.870138,tt0113855
44,To Die For,177.0,6.7,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",10.448481,tt0114681
46,Se7en,5915.0,8.1,"['Crime', 'Mystery', 'Thriller']",18.45743,tt0114369
47,Pocahontas,1509.0,6.7,"['Adventure', 'Animation', 'Drama', 'Family']",13.280069000000001,tt0114148
49,The Usual Suspects,3334.0,8.1,"['Drama', 'Crime', 'Thriller']",16.302466,tt0114814
51,Mighty Aphrodite,145.0,6.7,"['Comedy', 'Romance']",15.899134,tt0113819
57,The Postman,181.0,7.6,"['Comedy', 'Drama', 'Romance']",10.168436999999999,tt0110877
59,The Indian in the Cupboard,136.0,5.9,"['Adventure', 'Family', 'Fantasy']",10.673296,tt0113419
60,Eye for an Eye,65.0,5.8,"['Drama', 'Thriller']",4.733526,tt0116260
61,Mr. Holland's Opus,115.0,6.9,"['Music', 'Drama', 'Family']",7.137117,tt0113862
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,['Comedy'],11.700115,tt0116126
64,Bio-Dome,110.0,4.4,['Comedy'],6.387469,tt0115683
68,Friday,513.0,7.0,['Comedy'],14.56965,tt0113118
69,From Dusk Till Dawn,1644.0,6.9,"['Horror', 'Action', 'Thriller', 'Crime']",15.339153,tt0116367
70,Fair Game,54.0,4.1,"['Action', 'Thriller', 'Romance']",5.912223,tt0113010
75,Screamers,154.0,6.1,"['Horror', 'Science Fiction']",12.758848,tt0114367
77,The Crossing Guard,74.0,6.1,"['Drama', 'Thriller']",5.756462,tt0112744
78,The Juror,91.0,5.5,"['Drama', 'Thriller']",6.010579,tt0116731
80,Things to Do in Denver When You're Dead,87.0,6.7,"['Drama', 'Crime']",4.486179,tt0114660
85,White Squall,86.0,6.3,"['Action', 'Drama']",9.568603999999999,tt0118158
86,Dunston Checks In,59.0,5.1,"['Adventure', 'Comedy', 'Family']",4.814825,tt0116151
87,Black Sheep,124.0,6.0,['Comedy'],8.963037,tt0115697
88,Nick of Time,190.0,6.1,"['Crime', 'Drama', 'Thriller']",6.848591000000001,tt0113972
90,Mary Reilly,77.0,5.7,"['Drama', 'Horror', 'Thriller', 'Romance']",12.866139,tt0117002
91,Vampire in Brooklyn,113.0,4.5,"['Comedy', 'Horror', 'Romance']",9.071127,tt0114825
92,Beautiful Girls,103.0,6.6,"['Comedy', 'Drama', 'Romance']",4.670562,tt0115639
93,Broken Arrow,459.0,5.7,"['Action', 'Adventure', 'Drama', 'Thriller']",14.957626000000001,tt0115759
95,La Haine,695.0,7.9,['Drama'],12.108196000000001,tt0113247
98,City Hall,67.0,6.0,"['Drama', 'Thriller']",4.8072230000000005,tt0115907
99,Bottle Rocket,285.0,6.8,"['Comedy', 'Crime', 'Drama']",6.904831,tt0115734
102,Happy Gilmore,767.0,6.5,['Comedy'],9.592265,tt0116483
103,The Bridges of Madison County,397.0,7.3,"['Drama', 'Romance']",5.951077,tt0112579
105,Muppet Treasure Island,93.0,6.5,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",6.902423,tt0117110
108,Braveheart,3404.0,7.7,"['Action', 'Drama', 'History', 'War']",20.755149,tt0112573
109,Taxi Driver,2632.0,8.1,"['Crime', 'Drama']",14.092713,tt0075314
110,Rumble in the Bronx,245.0,6.5,"['Crime', 'Action', 'Comedy', 'Thriller']",12.314278,tt0113326
120,Boomerang,139.0,5.4,"['Comedy', 'Romance']",6.506983,tt0103859
121,Chungking Express,249.0,7.9,"['Drama', 'Comedy', 'Romance']",6.778979,tt0109424
123,Flirting with Disaster,66.0,6.3,"['Comedy', 'Romance']",5.579088,tt0116324
124,The Neverending Story III: Escape from Fantasia,105.0,4.4,['Fantasy'],6.252377,tt0110647
133,Down Periscope,110.0,5.6,['Comedy'],5.184977,tt0116130
138,Up Close & Personal,51.0,5.9,"['Drama', 'Romance']",3.4027489999999996,tt0118055
139,The Birdcage,303.0,6.7,['Comedy'],6.499680000000001,tt0115685
142,Bad Boys,1729.0,6.5,"['Action', 'Comedy', 'Crime', 'Thriller']",9.262184,tt0112442
144,The Basketball Diaries,472.0,7.2,"['Drama', 'Crime']",7.415144000000001,tt0112461
147,Apollo 13,1637.0,7.3,['Drama'],18.761467,tt0112384
148,Rob Roy,151.0,6.5,['Adventure'],10.193549,tt0114287
150,Batman Forever,1529.0,5.2,"['Action', 'Crime', 'Fantasy']",13.321354000000001,tt0112462
151,Belle de Jour,163.0,7.3,"['Drama', 'Romance']",10.142662,tt0061395
154,Canadian Bacon,57.0,5.9,"['Action', 'Comedy']",5.391556,tt0109370
155,Casper,1045.0,6.0,"['Fantasy', 'Comedy', 'Family']",12.812539,tt0112642
156,Clockers,69.0,6.8,"['Mystery', 'Crime', 'Drama']",4.558992,tt0112688
157,Congo,214.0,5.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",7.260574,tt0112715
158,Crimson Tide,508.0,7.0,"['Action', 'Thriller', 'Drama']",8.657364999999999,tt0112740
159,Crumb,71.0,7.6,['Documentary'],3.6203879999999997,tt0109508
160,Desperado,898.0,6.8,"['Thriller', 'Action', 'Crime']",6.950458,tt0112851
161,Devil in a Blue Dress,88.0,6.3,"['Drama', 'Mystery', 'Thriller']",4.646132,tt0112857
162,Die Hard: With a Vengeance,2094.0,6.9,"['Action', 'Thriller']",15.138855,tt0112864
163,The Doom Generation,57.0,5.6,"['Action', 'Comedy', 'Crime', 'Drama']",7.120806,tt0112887
165,First Knight,319.0,5.9,"['Action', 'Adventure', 'Drama', 'Romance']",15.178338,tt0113071
166,Free Willy 2 - The Adventure Home,130.0,5.5,['Adventure'],7.575098,tt0113114
167,Hackers,406.0,6.2,"['Action', 'Crime', 'Thriller', 'Drama']",14.810519000000001,tt0113243
169,Johnny Mnemonic,380.0,5.5,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",11.715867999999999,tt0113481
170,Judge Dredd,643.0,5.4,['Science Fiction'],8.184814999999999,tt0113492
172,Kids,280.0,6.8,"['Drama', 'Crime']",4.877872,tt0113540
173,Living in Oblivion,64.0,7.2,"['Drama', 'Comedy']",10.058328999999999,tt0113677
174,Lord of Illusions,87.0,5.9,"['Mystery', 'Horror', 'Thriller']",4.102409,tt0113690
177,Mallrats,400.0,6.8,"['Romance', 'Comedy']",8.255469999999999,tt0113749
178,Mighty Morphin Power Rangers: The Movie,153.0,5.2,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",7.024227000000001,tt0113820
182,The Net,359.0,5.6,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",13.304342000000002,tt0113957
183,Nine Months,171.0,5.5,['Comedy'],8.482834,tt0113986
185,The Prophecy,139.0,6.4,"['Fantasy', 'Horror', 'Thriller']",10.187623,tt0114194
187,Safe,62.0,7.2,['Drama'],8.180047,tt0114323
188,The Scarlet Letter,111.0,5.5,"['Drama', 'History', 'Romance']",6.752119,tt0114345
190,Showgirls,261.0,4.9,['Drama'],17.502375,tt0114436
191,Smoke,115.0,7.2,"['Comedy', 'Drama']",5.5529459999999995,tt0114478
192,Something to Talk About,60.0,5.7,['Comedy'],3.743212,tt0114496
193,Species,457.0,5.5,"['Science Fiction', 'Horror', 'Action']",13.492845,tt0114508
195,Strange Days,334.0,6.8,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",11.223055,tt0114558
196,The Umbrellas of Cherbourg,119.0,7.6,"['Drama', 'Romance']",8.133881,tt0058450
199,Total Eclipse,112.0,6.5,"['Drama', 'Romance']",4.546551999999999,tt0114702
200,"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3,['Comedy'],7.653446000000001,tt0114682
201,Under Siege 2: Dark Territory,217.0,5.6,"['Action', 'Thriller']",7.490247,tt0114781
204,A Walk in the Clouds,168.0,6.5,"['Drama', 'Romance']",9.715639,tt0114887
205,Waterworld,1017.0,5.9,"['Adventure', 'Action']",16.885184,tt0114898
212,Before Sunrise,984.0,7.7,"['Drama', 'Romance']",11.304979,tt0112471
213,Billy Madison,464.0,6.2,['Comedy'],6.638116,tt0112508
216,The Cure,58.0,7.2,"['Drama', 'Family']",2.686342,tt0112757
219,Clerks,769.0,7.4,['Comedy'],10.513367,tt0109445
220,Don Juan DeMarco,184.0,6.3,"['Romance', 'Drama', 'Comedy']",7.438934,tt0112883
221,Disclosure,217.0,5.9,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",11.812244,tt0109635
223,Drop Zone,91.0,5.1,"['Action', 'Adventure', 'Thriller']",9.579155,tt0109676
225,Death and the Maiden,92.0,7.1,"['Drama', 'Thriller', 'Mystery']",5.484156,tt0109579
226,Dolores Claiborne,183.0,7.1,"['Crime', 'Drama', 'Mystery']",5.8025,tt0109642
227,Dumb and Dumber,1894.0,6.5,['Comedy'],9.844558000000001,tt0109686
228,Eat Drink Man Woman,76.0,7.5,"['Comedy', 'Drama', 'Romance']",4.860016000000001,tt0111797
229,Exotica,64.0,6.5,"['Drama', 'Mystery']",5.378467,tt0109759
231,Ed Wood,639.0,7.3,"['Comedy', 'Drama', 'History']",11.720358000000001,tt0109707
232,French Kiss,179.0,6.2,"['Comedy', 'Romance']",9.146544,tt0113117
235,A Goofy Movie,404.0,6.7,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",10.177977,tt0113198
242,Hoop Dreams,91.0,7.7,['Documentary'],9.47666,tt0110057
243,Heavenly Creatures,299.0,6.9,"['Drama', 'Fantasy']",9.438042,tt0110005
245,Immortal Beloved,90.0,6.9,"['Drama', 'Music', 'Romance']",7.983666,tt0110116
246,Heavyweights,97.0,6.0,"['Comedy', 'Family', 'Drama']",9.546707000000001,tt0110006
248,I.Q.,112.0,5.9,"['Comedy', 'Drama', 'Romance']",5.146351999999999,tt0110099
249,Interview with the Vampire,1558.0,7.2,"['Horror', 'Romance']",11.970205,tt0110148
252,Junior,381.0,4.7,"['Comedy', 'Family', 'Romance']",6.710215,tt0110216
253,Just Cause,124.0,6.0,"['Action', 'Drama', 'Mystery', 'Thriller']",9.195256,tt0113501
255,Kiss of Death,83.0,5.7,"['Action', 'Crime', 'Drama', 'Thriller']",7.797511999999999,tt0113552
256,Star Wars,6778.0,8.1,"['Adventure', 'Action', 'Science Fiction']",42.149696999999996,tt0076759
257,Little Women,222.0,7.0,"['Drama', 'Romance']",9.774994,tt0110367
258,A Little Princess,207.0,7.4,"['Drama', 'Family', 'Fantasy']",7.731725,tt0113670
261,Like Water for Chocolate,70.0,6.6,"['Drama', 'Romance']",4.126083,tt0103994
262,Legends of the Fall,636.0,7.2,"['Adventure', 'Drama', 'Romance', 'War']",12.199047,tt0110322
263,Major Payne,164.0,6.1,"['Adventure', 'Comedy', 'Family']",9.253362,tt0110443
268,The Madness of King George,67.0,6.7,"['Comedy', 'Drama', 'History']",4.81307,tt0110428
269,Mary Shelley's Frankenstein,272.0,6.1,"['Drama', 'Horror', 'Science Fiction', 'Romance']",14.287753,tt0109836
273,Miracle on 34th Street,199.0,6.4,"['Fantasy', 'Drama', 'Family']",5.831622,tt0110527
276,Murder in the First,140.0,6.9,"['Crime', 'Drama']",9.518564,tt0113870
277,Nobody's Fool,56.0,7.0,"['Drama', 'Comedy']",2.891269,tt0110684
278,Nell,128.0,6.1,"['Drama', 'Thriller']",5.930957,tt0110638
284,Natural Born Killers,927.0,6.9,"['Crime', 'Thriller', 'Drama']",11.226856,tt0110632
285,Only You,92.0,6.4,"['Comedy', 'Drama', 'Romance']",4.936761,tt0110737
286,Once Were Warriors,106.0,7.6,['Drama'],4.025276,tt0110729
288,Outbreak,522.0,6.4,"['Action', 'Drama', 'Science Fiction', 'Thriller']",13.676444,tt0114069
289,Leon: The Professional,4293.0,8.2,"['Thriller', 'Crime', 'Drama']",20.477329,tt0110413
292,Pulp Fiction,8670.0,8.3,"['Thriller', 'Crime']",140.95023600000002,tt0110912
296,Quiz Show,262.0,7.1,"['History', 'Drama']",7.772505000000001,tt0110932
298,Queen Margot,67.0,7.0,"['Drama', 'History']",4.405405,tt0110963
299,The Quick and the Dead,431.0,6.2,"['Action', 'Western']",7.54701,tt0114214
302,Three Colors: Red,246.0,7.8,"['Drama', 'Mystery', 'Romance']",7.832755000000001,tt0111495
303,Three Colors: Blue,311.0,7.7,"['Drama', 'Music', 'Mystery']",8.843517,tt0108394
304,Three Colors: White,218.0,7.3,"['Comedy', 'Drama', 'Mystery']",6.5898,tt0111507
309,The Swan Princess,251.0,6.5,['Animation'],8.910461999999999,tt0111333
311,The Specialist,317.0,5.5,"['Action', 'Thriller']",10.388183,tt0111255
312,Stargate,942.0,6.8,"['Action', 'Adventure', 'Science Fiction']",13.328923999999999,tt0111282
313,The Santa Clause,501.0,6.3,"['Fantasy', 'Drama', 'Comedy', 'Family']",9.665424,tt0111070
314,The Shawshank Redemption,8358.0,8.5,"['Drama', 'Crime']",51.645403,tt0111161
